"Timestamp (America/Chicago)","RA3E-F52ABC Blue [Temperature & Humidity](2)Temperature(F°)","RA3E-F52ABC Blue [Temperature & Humidity](2)Humidity(%RH)"
06/19/2024 17:29:41,73.42,44.48
06/19/2024 17:28:41,73.13,36.53
06/19/2024 17:27:41,73.09,40.03
06/19/2024 17:10:24,73.18,45.12
06/19/2024 16:10:20,73.09,41.62
06/19/2024 15:10:16,72.99,41.95
06/19/2024 14:10:13,73.06,41.95
06/19/2024 13:10:09,72.86,42.25
06/19/2024 12:10:06,72.79,42.58
06/19/2024 11:10:02,72.82,42.58
06/19/2024 10:09:59,72.84,42.58
06/19/2024 09:09:55,72.64,43.22
06/19/2024 08:09:52,72.55,43.22
06/19/2024 07:09:48,72.59,43.53
06/19/2024 06:09:45,72.30,43.85
06/19/2024 05:09:41,72.12,44.17
06/19/2024 04:09:38,72.03,44.48
06/19/2024 03:09:34,71.62,45.12
06/19/2024 02:09:30,71.40,45.75
06/19/2024 01:09:27,70.88,46.72
06/19/2024 00:09:23,70.41,47.67
06/18/2024 23:09:20,69.96,48.62
06/18/2024 22:09:16,69.30,49.90
06/18/2024 21:09:13,68.52,51.48
06/18/2024 20:09:10,67.69,52.75
06/18/2024 19:09:06,66.79,54.35
06/18/2024 18:09:02,66.60,55.30
06/18/2024 17:08:59,69.44,51.48
06/18/2024 16:52:04,72.32,46.40
06/18/2024 16:44:38,73.65,41.30
06/18/2024 16:43:39,73.35,2.50
06/18/2024 16:28:07,72.45,19.18
06/18/2024 16:22:40,68.83,19.51
06/18/2024 16:20:55,65.19,19.81
06/18/2024 16:19:48,61.57,19.81
06/18/2024 16:18:48,56.12,19.81
06/18/2024 16:17:48,46.96,20.76
06/18/2024 16:16:48,33.76,0.59
06/18/2024 16:15:48,19.33,2.50
06/18/2024 16:14:48,3.88,4.72
06/18/2024 16:13:48,-13.83,4.72
06/18/2024 16:12:49,-30.28,4.72
06/18/2024 15:25:11,-34.01,8.54
06/18/2024 15:08:57,-36.71,3.77
06/18/2024 15:07:29,-33.09,3.12
